Date,Pptn_us,PET_us,ET_us,Pptn_us_ds,PET_us_ds,ET_us_ds,Pptn_total,PET_total,ET_total,Q_us,Q_ds,ET_sim,SM_sim,GW_sim,Q_sim
2012-05-29,0,3.9346993,1.2603798,0,3.9503758,0.88310444,0,3.9503758,0.88310444,0,0,0.825036192114585,39.5379480619529,161.34256435758,0.490534463180722
2012-05-30,0,3.678205,1.0462645,0,3.673846,0.7040234,0,3.673846,0.7040234,0,0,0.808172109072204,38.7297759528807,160.856575594005,0.488849613444948
2012-05-31,0.030047020394843,3.9778142,1.3596087,0.051145379606105,3.910194,1.0159563,0.047505218958894,3.910194,1.0159563,0,0,0.839157953862798,37.9381232179768,160.372050703769,0.487261472606324
2012-06-01,0,3.9259987,1.2730066,0,3.8222148,0.9078722,0,3.8222148,0.9078722,0,0,0.775471023616875,37.1626521943599,159.888985277459,0.485729240861953
2012-06-02,0,4.135589,1.0781497,0,4.0910974,0.77094513,0,4.0910974,0.77094513,0,0,0.759620073241331,36.4030321211186,159.407374918942,0.484230148860145
2012-06-03,0,4.2850723,1.306408,0,4.2449718,0.97279775,0,4.2449718,0.97279775,0,0,0.744093122886622,35.658938998232,158.927215245331,0.482751487013043
2012-06-04,0,4.2190356,1.0226698,0,4.189525,0.75037396,0,4.189525,0.75037396,0,0,0.728883549857512,34.9300554483744,158.448501886938,0.481286158403688
2012-06-05,0,4.137112,1.6707219,0,4.0516963,1.476386,0,4.0516963,1.476386,0,0,0.713984866829416,34.216070581545,157.971230487237,0.479830197615329
2012-06-06,0.141323962058722,4.301282,1.319613,0.128393487643194,4.263501,1.0614296,0.130624419630511,4.263501,1.0614296,0,0,0.83001513871187,33.5166798624637,157.495396702826,0.47838138640954
2012-06-07,0,4.292469,0.98068845,0,4.2220874,0.8910497,0,4.2220874,0.8910497,0,0,0.685094881785507,32.8315849806782,157.020996203385,0.4769384813702
2012-06-08,0,4.1872077,2.2354054,0,4.112897,1.6153351,0,4.112897,1.6153351,0,0,0.671091257352099,32.1604937233261,156.548024671639,0.475500782982132
2012-06-09,3.49731970981727,3.7256985,2.9569795,1.98329538819437,3.732575,2.7282205,2.2445143631367,3.732575,2.7282205,0,0,1.37472872929867,32.9083819552817,156.160276750976,0.482485871971414
2012-06-10,5.36671800554291,2.7069707,1.3328524,6.19730862299677,2.736801,1.1314436,6.05400443328839,2.736801,1.1314436,0,0,1.39001587593619,37.1366731985411,155.989364304303,0.515916831903652
2012-06-11,0,2.9577518,1.6776031,0.008956216542031,2.4237578,1.1208661,0.007410974719948,2.4237578,1.1208661,0,0,0.766500026477576,36.3775841467835,155.519500207431,0.525794975039585
2012-06-12,0.002470745676165,3.0483184,1.6061378,0.008833733617948,2.9345477,1.5083907,0.007735908991588,2.9345477,1.5083907,0,0,0.751308864694577,35.6340111910805,155.051051413906,0.500756947007526
