Date,Pptn_total,PET_total,Q_ds
1998-07-04,4.96002954900682,3.1002896,0.048271136596177
1998-07-05,0.802836942865591,2.8679357,0.048609288166028
1998-07-06,7.97742681199909,3.5762718,0.061628123605277
1998-07-07,0.401133036577513,3.2604942,0.038042051608196
1998-07-08,2.8113791435667,2.6685388,0.032293474920735
1998-07-09,21.3044157518477,2.03377,0.032969778060436
1998-07-10,57.4415122209989,1.2248399,0.081663604118927
1998-07-11,3.92793034873599,2.4992874,1.62059139850914
1998-07-12,2.6112476195726,2.8327377,1.38642143638758
1998-07-13,0.000547089365958,3.8121579,0.643079747963435
1998-07-14,0.111655013237898,3.6470675,0.456842770868201
1998-07-15,0.013521758400595,3.5111482,0.261475701386999
1998-07-16,4.21390461826782,3.576729,0.179135794128371
1998-07-17,0.406780939461778,3.2268386,0.128582134435702
1998-07-18,5.00443282250589,2.6839752,0.098655720503921
1998-07-19,1.46276975319792,2.866031,0.09510512902049
1998-07-20,0.411034128219836,3.683489,0.066024094013335
1998-07-21,0.070534752994172,3.5587318,0.054949630100727
1998-07-22,0.000735582694184,3.6404545,0.050215508122819
1998-07-23,1.71063720046058,3.645386,0.045904075607223
1998-07-24,5.0567227341603,3.8014848,0.044466931435358
1998-07-25,1.45034110782481,3.5454838,0.039225582102673
1998-07-26,7.83011547335843,2.893152,0.035505914834316
1998-07-27,10.077441501671,1.7620271,0.035505914834316
1998-07-28,28.4032390436302,0.9580719,0.046157689284611
1998-07-29,36.9127596232946,0.75048554,2.0644153339381
1998-07-30,11.576001631813,2.2399142,6.03685090075837
1998-07-31,1.4594136536805,2.6926014,2.68661422246325
1998-08-01,3.2099496424485,2.8599317,1.50561986475993
1998-08-02,6.51594169991551,2.3905206,0.870740292365372
1998-08-03,15.0810072300919,3.1632178,1.48025849702113
1998-08-04,16.472276268076,3.2216094,2.8599169020117
1998-08-05,0.389241914091528,2.717947,4.72820432543643
1998-08-06,2.90750406327589,2.8581717,2.36875174680366
1998-08-07,5.33369875275429,2.3617227,1.35852393187491
1998-08-08,5.45129419988008,1.9390199,0.731421845586912
1998-08-09,7.31011069986272,2.6407828,0.697437612816924
1998-08-10,30.044676431133,1.7457658,1.38134916283982
1998-08-11,12.5758090061557,2.6444478,11.5647836888915
1998-08-12,3.05744153200291,2.3381426,4.72144129403942
1998-08-13,2.57483954071758,3.2777233,2.08724056490301
1998-08-14,3.65408656171592,2.9269881,1.49040304411665
1998-08-15,17.2404518536405,2.0755498,1.22579944070853
1998-08-16,1.57112457314351,2.3794963,2.1726238362903
1998-08-17,4.02024199979604,3.3122385,2.57079730978941
1998-08-18,0.72217928555116,2.5878356,2.11175655371718
1998-08-19,6.2485907096999,2.6025558,2.19206755155671
1998-08-20,17.5551954208866,2.9845128,2.56910655194016
1998-08-21,0.017430504622191,3.0781379,1.9595883472844
1998-08-22,1.19477629389768,2.5819545,1.42699962476966
1998-08-23,1.94094753273943,2.044006,1.11590018050708
1998-08-24,6.94943215951079,1.7297399,1.23848012457793
1998-08-25,1.29982857409838,2.3544827,0.828471346134043
1998-08-26,5.15969262057184,2.3924508,0.939215985260124
1998-08-27,29.0638446366066,1.5933399,1.4253088669204
1998-08-28,1.14765230918281,3.0681112,4.20491477109258
1998-08-29,0.008149181911473,3.4207554,2.68238732784012
1998-08-30,0.148817891145765,3.634354,1.56395101055916
1998-08-31,0.007169228116591,3.5014176,0.948515153431017
1998-09-01,0.817248328984374,2.4130406,0.621522585385458
1998-09-02,14.3087268207595,2.829757,0.669371032519322
1998-09-03,1.67037127062697,2.6277301,1.01107319385338
1998-09-04,15.1605230392564,2.0844157,1.49970221228754
1998-09-05,3.25139449096382,2.6147225,2.17515997306418
1998-09-06,0.366858150833541,3.3247964,2.28252309649175
1998-09-07,10.2864437325874,2.3652866,1.7465528582785
1998-09-08,2.38919226870038,1.969451,1.3171003645682
1998-09-09,4.98638037048928,2.514479,1.5969207886196
1998-09-10,1.06598335278123,2.9589562,1.38980295208609
1998-09-11,0.150532982398913,2.249773,1.20635572544212
1998-09-12,5.83493370416034,2.2474597,0.760587418486529
1998-09-13,24.5871599388757,2.4092216,0.828471346134043
1998-09-14,5.48445864350039,3.2585423,2.28167771756712
1998-09-15,1.52871558597112,3.6631436,2.36198871540665
1998-09-16,4.67797745614203,3.6166673,1.84038991891205
1998-09-17,0,3.7195954,1.41854583552339
1998-09-18,0,3.2862823,0.868204155591492
1998-09-19,5.52025553447308,3.2458134,0.570546236230475
1998-09-20,18.0607645054905,1.7729398,0.870740292365372
1998-09-21,30.0591794950486,1.8690833,2.36790636787904
1998-09-22,0.410115889795954,3.1234667,5.7578758556316
1998-09-23,2.1458538555614,3.1237369,3.19637771401308
1998-09-24,10.4710397566013,3.449036,3.37306190926003
1998-09-25,2.90063771173342,2.3283298,4.38413510311342
1998-09-26,22.8078629522336,2.4314,2.79651348266471
1998-09-27,26.2362062936507,2.3606126,7.81130126354955
1998-09-28,11.2048905825371,2.599648,5.73082373004355
1998-09-29,7.82683309726253,2.9133859,5.0866449894781
1998-09-30,1.53547267606044,3.0217412,3.99526079778519
1998-10-01,0.283367225880086,3.2423482,3.06872549639447
1998-10-02,0.315214432439929,3.308513,2.11344731156644
1998-10-03,4.66656691235402,3.2189271,1.52506358002634
1998-10-04,18.6570326357652,2.658483,1.85983363417846
1998-10-05,3.36552745187087,3.1584687,4.80006153402969
1998-10-06,3.9777743507343,3.2836423,3.00701283489673
1998-10-07,4.92597804870187,2.8647377,2.46512494421109
1998-10-08,2.95220966955914,2.1661906,1.85307060278145
1998-10-09,4.65467947602915,2.232966,2.58770488828194
1998-10-10,0.206548448759235,2.2977412,2.92923797383108
1998-10-11,3.43427460994163,2.724028,2.02890941910378
1998-10-12,3.63249678578743,2.690146,1.88434962299263
1998-10-13,0.983177821710615,2.7866457,2.3602979575574
1998-10-14,19.6858197643789,2.2915988,2.58516875150806
1998-10-15,6.27706873742976,0.5911856,8.79194081611638
1998-10-16,5.32565721159757,2.1366801,12.4947005059808
1998-10-17,0.012702322196902,3.0641732,7.26434109931615
1998-10-18,0,3.189548,3.78729758232705
1998-10-19,0,3.2149506,2.28252309649175
1998-10-20,0,2.9106963,1.3965659834831
1998-10-21,0,2.79403,0.900328554727302
1998-10-22,0,3.215624,0.739199331693477
1998-10-23,0.049427090544918,3.1581695,0.574773130853608
1998-10-24,0,3.2467902,0.523796781698626
1998-10-25,0,3.1142545,0.490319776283413
1998-10-26,0,3.2079673,0.45363033095462
1998-10-27,0.176249573122742,3.0769098,0.442471329149549
1998-10-28,0.862675465479622,3.0736625,0.518301818688553
1998-10-29,0.252718815687783,1.4199916,0.529545358386086
1998-10-30,0.33033157821351,0.841121,0.612307955107028
1998-10-31,6.2964813576382,1.9143685,3.05942632822357
1998-11-01,2.19894943077374,2.5347245,5.24134933268476
1998-11-02,1.48390585600361,2.8172815,3.21751218712874
1998-11-03,2.03602548341392,2.7812755,2.34254500014024
1998-11-04,3.66777860599173,2.9457152,1.52168206432783
1998-11-05,0.571114600416427,2.9487662,1.56226025270991
1998-11-06,0.66956383913866,2.6739178,1.36613234219654
1998-11-07,0.068354686253609,2.3273773,0.875812565913131
1998-11-08,0.452285205035738,2.3190804,0.904555449350435
1998-11-09,4.57530709979445,2.4994814,0.779016679043389
1998-11-10,2.53928460369867,2.6829655,0.717219479653186
1998-11-11,1.20982611506306,2.563212,0.685940459442002
1998-11-12,3.332027275772,2.4233818,0.663453380046936
1998-11-13,0.075838104367377,2.751245,0.683573398453048
1998-11-14,0.065797170553367,2.7963958,0.651618075102164
1998-11-15,0.00406490359051,1.758464,0.634034193469931
1998-11-16,0.277441634327387,2.5572782,0.603854165860762
1998-11-17,0,2.8885224,0.560486227027419
1998-11-18,0,2.441234,0.529883509955937
1998-11-19,0,2.6571577,0.516188371376986
1998-11-20,0.229864171913292,2.8345568,0.45777268768529
1998-11-21,0,2.7838771,0.399187928208668
1998-11-22,0,2.7303863,0.371966726835693
1998-11-23,0,2.6119995,0.389127919005612
1998-11-24,1.278068829755,2.6593747,0.405781883820756
1998-11-25,0.00066149829779,2.6830907,0.401554989197623
1998-11-26,0,2.557898,0.385915479092031
1998-11-27,0,2.5064292,0.384816486490017
1998-11-28,0,2.559212,0.340434092947122
1998-11-29,0,2.648983,0.333924675227497
1998-11-30,0,2.5553398,0.375517318319124
1998-12-01,0,2.639225,0.37982875083472
1998-12-02,0,2.5366852,0.396398177757401
