Date,Pptn_us,PET_us,ET_us,Pptn_us_ds,PET_us_ds,ET_us_ds,Pptn_total,PET_total,ET_total,live_St_us,Res_outflow,Q_ds,ET_us_sim,SM_us_sim,GW_us_sim,Ot_sim,St_us_sim,ET_us_ds_sim,SM_us_ds_sim,GW_us_ds_sim,Q_ds_sim
2010-11-03,0,1.6763276,0.42981657,0,1.5241137,0.39166933,0,1.5656265,0.40207317,17.276,0,1.21407,0.950163182639882,25.2753257464102,0.000253323053497,0.185040106898493,17.5024952146329,0.858064140151111,22.8253957318956,0.000184846784101,0.191656579127444
2010-11-04,0,1.6268374,0.35432148,0,1.6673269,0.435199,0,1.6562843,0.41314146,17.24,0,1.17445,0.915738273495698,24.3595874729145,0.000190066348221,0.184622230728289,17.486657950239,0.826976027493962,21.9984197044016,0.000138689127378,0.189690728159559
2010-11-05,0,1.393478,0.44743708,0,1.4323326,0.47926962,0,1.4217359,0.47058803,17.202,0,1.17162,0.882560596817723,23.4770268760967,0.000142605326389,0.184204872081377,17.4708282549025,0.797014253420795,21.2014054509808,0.000104057390809,0.188111556266744
2010-11-06,0,1.5503145,0.3043065,0,1.5673454,0.35291624,0,1.5627006,0.33965904,17.189,0,1.19143,0.850584964721271,22.6264419113755,0.000106995684954,0.183788279098649,17.4550131768234,0.768138010095516,20.4332674408853,7.80734639163643E-05,0.186822886327183
2010-11-07,0,1.5765249,0.329486,0,1.5854199,0.35761258,0,1.582994,0.3499417,17.165,0,1.20275,0.819767826502355,21.8066740848731,8.02780435251405E-05,0.183372635823108,17.4392179717917,0.740307968171281,19.692959472714,5.85779224379592E-05,0.185752555150196
2010-11-08,0,1.6612123,0.32019392,0,1.6757188,0.35474345,0,1.6717625,0.34532085,17.151,0,1.23671,0.790067209321775,21.0166068755513,6.02320016455827E-05,0.182958078282119,17.4234465509441,0.713486223224055,18.97947324949,4.39505668766458E-05,0.184846417110916
2010-11-09,0,1.6639227,0.39751112,0,1.6547235,0.6053619,0,1.6572323,0.5486753,17.127,0,1.25652,0.761442661038252,20.2551642145131,4.5191609846562E-05,0.182544706537965,17.4077018167066,0.687636244126913,18.2918370053631,3.29757739500639E-05,0.184063845102715
2010-11-10,0,1.6313039,0.3747598,0,1.6672757,0.6410998,0,1.6574651,0.56846166,17.113,0,1.3018,0.733855195112747,19.5213090194003,3.39069189920182E-05,0.182132593717191,17.3919859148459,0.662722823294768,17.6291141820683,2.47414708132815E-05,0.183374354920426
2010-11-11,0,1.490818,0.28904924,0,1.4129413,0.32342523,0,1.4341804,0.31404996,17.101,0,1.26784,0.707267237508923,18.8140417818914,2.54401018117028E-05,0.181721792776039,17.3763004235778,0.638712028731761,16.9904021533365,1.85633361913338E-05,0.182755072548804
2010-11-12,1.84145212173462,1.2618333,0.37164822,0.495137721300125,1.3145461,0.64120156,0.725395202636719,1.3001698,0.567687,17.087,0,1.26784,1.2618333,19.3930180971409,0.000221878665288,0.181312341569511,17.3606464954517,1.11070887911611,16.3748309955206,1.39279290690955E-05,0.18218883387923
